collision_index,casualty_reference,casualty_class,casualty_severity,sex_of_casualty,age_band_of_casualty
1,1,1,3,-1,5
2,1,1,3,1,4
3,2,2,3,-1,-1
4,1,1,3,2,7
5,1,1,3,1,6
6,1,3,3,2,7
7,1,3,2,1,8
8,1,3,3,1,4
9,1,2,3,2,8
10,1,3,3,2,6
11,2,3,3,2,6
12,1,1,3,1,4
13,1,1,3,1,8
14,1,1,3,1,4
15,2,1,2,1,6
16,1,1,3,1,8
17,1,3,3,2,9
18,1,1,3,1,6
19,1,3,3,1,6
20,1,1,3,1,6
21,1,1,3,1,6
22,2,1,3,1,6
23,3,2,3,2,5
24,1,3,3,1,8
25,1,1,3,2,6
26,2,2,3,1,-1
27,1,3,3,2,8
28,1,3,3,2,9
29,1,2,3,2,6
30,1,2,3,1,1
31,1,1,3,2,7
32,1,1,3,1,6
33,1,1,2,1,9
34,1,3,3,1,5
35,1,1,3,2,11
36,1,3,3,2,10
37,1,3,2,1,10
38,1,1,3,2,8
39,2,2,3,2,8
40,1,1,2,1,6
41,1,3,2,2,8
42,1,1,3,1,7
43,2,2,3,1,7
44,3,1,3,1,6
45,4,2,3,1,7
46,1,2,3,2,5
47,1,1,3,1,6
48,1,1,3,1,8
49,1,1,3,1,8
50,1,3,3,1,7
51,1,3,2,2,9
52,1,1,3,1,5
53,1,1,2,1,9
54,1,3,3,2,4
55,1,3,3,2,4
56,1,1,3,1,4
57,1,1,3,1,8
58,1,1,3,1,6
59,1,2,3,2,8
60,1,1,3,2,7
61,2,2,3,2,1
62,1,1,3,-1,6
63,1,1,3,1,6
64,1,1,3,1,6
65,1,3,2,1,9
66,1,1,3,2,8
67,1,1,3,1,7
68,1,2,3,2,10
69,1,3,3,2,4
70,1,1,3,2,8
71,1,3,2,1,9
72,1,2,3,2,6
73,1,1,3,1,7
74,1,1,2,1,5
75,1,1,3,1,7
76,1,3,2,1,9
77,1,1,2,1,7
78,2,2,1,2,5
79,1,1,3,1,6
80,1,1,3,1,7
81,1,1,3,1,6
82,1,1,3,1,6
83,1,1,3,2,7
84,1,3,3,2,3
85,1,1,2,1,9
86,1,3,1,1,11
87,1,1,3,1,7
88,1,3,3,1,9
89,1,1,3,1,5
90,2,1,3,1,6
91,1,1,3,1,8
92,1,3,2,2,11
93,1,3,3,2,4
94,1,1,3,1,5
95,1,1,3,2,7
96,2,2,3,1,1
97,3,2,3,2,2
98,1,3,2,1,5
99,1,1,3,1,5
100,1,1,3,1,8
101,1,3,3,2,8
102,1,1,2,1,6
103,1,1,3,1,8
104,1,3,3,2,10
105,1,1,3,1,5
106,1,3,2,2,4
107,1,1,3,1,7
108,2,2,3,1,7
109,1,1,3,1,5
110,1,1,2,2,6
111,1,1,3,1,6
112,1,1,3,2,6
113,1,3,3,2,7
114,1,1,3,1,5
115,1,1,3,1,5
116,1,1,3,2,6
117,1,3,3,2,6
118,1,1,3,1,8
119,1,1,3,1,5
120,1,1,3,1,6
121,1,3,3,2,4
122,1,3,3,2,8
123,1,1,3,2,6
124,1,1,3,1,-1
125,1,1,3,1,9
126,1,1,3,1,8
127,2,2,2,2,10
128,1,1,3,1,6
129,1,1,2,1,8
130,1,1,3,2,7
131,1,3,3,2,8
132,1,3,3,2,6
133,1,1,3,1,6
134,1,1,3,1,8
135,1,1,2,1,5
136,1,1,3,1,6
137,2,1,3,1,9
138,3,2,3,2,4
139,1,1,3,1,6
140,1,1,2,1,6
141,1,1,3,1,5
142,1,1,3,1,9
143,1,3,3,2,9
144,1,1,3,1,7
145,1,1,3,2,5
146,1,3,3,1,8
147,1,1,3,2,8
148,1,1,3,1,8
149,2,1,3,1,8
150,1,2,3,2,8
151,1,1,2,1,7
152,1,1,3,1,5
153,1,1,3,1,8
154,1,1,3,2,8
155,2,1,3,1,9
156,1,1,3,1,8
157,1,1,3,1,8
158,1,2,3,2,9
159,1,1,3,2,7
160,2,2,3,-1,-1
161,1,1,3,1,5
162,1,1,3,1,6
163,1,1,2,2,9
164,1,3,2,2,9
165,1,3,3,1,5
166,2,3,3,1,6
167,1,3,3,1,7
168,1,3,1,2,11
169,1,3,3,2,6
170,1,1,3,1,-1
171,1,1,2,1,9
172,1,2,3,2,4
173,2,2,3,2,4
174,1,1,3,1,10
175,1,1,3,1,7
176,1,3,3,1,6
177,1,2,3,1,10
178,1,3,3,2,11
179,1,3,3,2,6
180,1,3,3,2,6
181,1,3,2,2,5
182,1,3,3,1,3
183,1,1,3,2,8
184,1,3,2,2,8
185,2,3,3,2,3
186,1,3,3,1,1
187,1,1,3,1,8
188,1,1,3,1,6
189,1,1,3,1,4
190,1,1,3,1,8
191,2,1,3,2,8
192,1,1,3,2,5
193,1,1,3,1,8
194,1,1,3,1,8
195,1,1,3,1,8
196,1,1,2,1,4
197,2,2,2,2,3
198,1,1,3,1,5
199,1,1,3,1,10
200,1,3,2,2,6
201,1,3,1,1,10
202,1,1,3,1,7
203,1,1,3,1,6
204,2,2,3,-1,-1
205,3,2,3,-1,-1
206,4,2,3,-1,-1
207,1,1,2,2,5
208,1,3,3,1,8
209,1,1,3,1,8
210,1,1,3,1,8
211,1,1,2,2,8
212,1,1,3,-1,6
213,1,1,3,1,5
214,1,1,2,1,8
215,1,1,3,-1,6
216,1,1,3,1,5
217,1,1,3,1,6
218,1,1,3,2,8
219,1,1,3,1,6
220,1,1,3,-1,-1
221,1,1,3,2,6
222,1,1,3,1,6
223,1,1,3,1,6
224,1,1,3,1,5
225,1,1,3,1,4
226,1,1,3,1,7
227,1,1,3,2,4
228,1,1,2,2,8
229,2,1,3,2,7
230,1,1,3,2,7
231,1,2,3,1,7
232,2,2,3,2,5
233,1,1,3,2,8
234,1,1,3,1,-1
235,1,3,3,2,7
236,1,1,3,1,6
237,2,3,3,1,6
238,1,2,3,2,8
239,2,2,3,2,8
240,1,1,3,1,8
241,2,2,3,2,8
242,1,2,3,2,11
243,1,1,3,1,6
244,1,1,3,2,5
245,2,2,3,2,5
246,3,2,3,2,2
247,4,1,3,1,8
248,1,1,2,1,9
249,1,1,3,1,5
250,1,3,3,2,7
251,1,3,2,1,9
252,1,1,3,1,5
253,1,1,3,2,7
254,2,1,3,1,10
255,1,1,3,2,6
256,1,1,1,1,6
257,1,1,2,1,-1
258,1,3,2,2,7
259,1,2,3,2,3
260,2,2,3,2,6
261,3,2,3,1,9
262,1,1,3,2,6
263,2,1,3,2,-1
264,1,1,2,1,4
265,1,3,3,2,5
266,1,1,3,2,8
267,2,2,3,1,10
268,3,2,3,-1,4
269,4,2,3,-1,4
270,1,3,3,1,6
271,1,1,3,1,10
272,1,2,3,2,4
273,2,1,3,1,6
274,1,1,3,1,7
275,1,2,3,2,3
276,2,1,3,1,8
277,1,1,3,1,6
278,1,1,3,1,6
279,1,1,3,1,7
280,1,1,3,1,6
281,1,3,3,1,2
282,1,2,3,2,11
283,1,2,2,2,11
284,1,3,2,1,7
285,1,1,3,1,6
286,1,1,3,2,5
287,1,3,3,1,-1
288,1,3,3,2,6
289,1,3,2,2,7
290,1,3,2,2,10
291,1,3,3,1,6
292,1,3,3,1,7
293,1,3,3,2,9
294,1,3,3,2,5
295,1,1,3,1,7
296,1,3,3,1,9
297,1,1,2,1,5
298,1,1,3,2,8
299,1,1,3,1,7
300,1,3,2,2,6
301,1,1,3,1,4
302,1,1,3,1,6
303,2,2,3,1,4
304,3,2,3,1,4
305,1,2,3,1,4
306,1,1,3,1,5
307,1,1,2,1,6
308,1,1,3,1,8
309,1,1,3,1,5
310,1,1,3,1,5
311,1,2,3,2,8
312,2,1,3,1,9
313,3,2,3,-1,6
314,4,2,3,-1,4
315,1,3,3,1,4
316,1,1,3,1,8
317,1,1,3,1,8
318,2,1,2,1,7
319,1,3,3,2,6
320,1,3,3,2,6
321,1,1,2,1,10
322,1,1,3,-1,9
323,1,1,3,1,5
324,2,1,3,1,6
325,3,2,3,1,6
326,1,1,3,2,6
327,1,3,3,1,6
328,1,1,3,1,5
329,1,2,3,1,6
330,2,1,3,2,6
331,3,1,3,1,4
332,1,1,3,1,6
333,1,1,3,1,8
334,1,3,3,2,7
335,1,3,3,2,6
336,1,3,3,2,6
337,1,1,3,1,7
338,1,1,3,2,8
339,1,1,3,1,6
340,1,1,3,2,6
341,1,1,3,1,6
342,1,1,3,1,4
343,1,1,3,1,5
344,2,2,3,1,5
345,3,2,3,1,5
346,4,2,3,1,5
347,5,2,3,1,5
348,1,3,3,1,-1
349,1,1,3,1,6
350,1,1,3,1,7
351,1,1,3,1,6
352,2,2,3,2,6
353,1,1,3,1,6
354,1,1,3,2,6
355,1,1,3,1,4
356,2,2,3,1,4
357,3,1,2,2,11
358,1,1,3,1,11
359,1,1,3,1,5
360,1,3,2,1,9
361,1,1,3,2,5
362,1,1,3,2,6
363,1,1,3,1,7
364,1,1,3,2,8
365,1,1,3,1,5
366,1,3,3,2,9
367,1,1,3,1,8
368,1,1,3,2,6
369,1,1,3,1,7
370,1,1,3,2,7
371,1,1,3,1,6
372,1,1,3,2,6
373,2,2,3,1,-1
374,1,1,3,1,6
375,1,1,3,1,7
376,1,2,3,2,6
377,2,2,3,2,-1
378,1,1,3,1,5
379,1,1,3,1,6
380,1,1,3,1,6
381,1,3,3,1,8
382,1,1,2,1,6
383,1,2,3,2,7
384,2,2,3,2,1
385,1,1,3,2,7
386,1,1,3,1,4
387,1,2,3,2,8
388,1,1,3,1,6
389,1,1,3,2,6
390,1,1,3,1,6
391,1,1,3,1,7
392,1,2,3,2,6
393,2,1,3,1,8
394,1,1,3,1,7
395,1,1,3,1,9
396,2,1,2,2,6
397,3,2,3,1,6
398,4,1,3,1,8
399,1,1,3,1,8
400,1,1,3,1,7
401,2,1,3,1,8
402,1,3,2,1,10
403,2,3,2,2,11
404,1,1,3,1,6
405,1,1,2,1,5
406,1,3,3,2,8
407,1,1,3,1,4
408,2,1,3,1,7
409,1,2,3,1,7
410,1,1,2,1,5
411,1,1,3,1,-1
412,1,1,3,1,7
413,1,1,3,-1,5
414,1,1,3,1,7
415,1,1,3,1,8
416,1,3,3,2,7
417,1,1,3,1,7
418,1,3,3,2,8
419,1,1,3,1,6
420,1,1,3,-1,6
421,1,3,3,2,7
422,1,1,3,1,7
423,1,1,3,1,9
424,1,1,3,-1,4
425,1,1,3,2,6
426,1,3,2,2,7
427,1,1,3,1,6
428,1,1,3,2,7
429,1,1,3,-1,5
430,1,3,3,1,1
431,1,1,3,2,7
432,1,1,3,1,4
433,1,1,3,1,6
434,1,3,2,2,3
435,1,1,3,1,6
436,1,2,3,2,10
437,1,1,3,2,11
438,1,3,2,1,5
439,1,1,3,2,8
440,1,1,3,-1,6
441,1,3,3,2,7
442,2,3,3,1,1
443,1,1,3,1,5
444,1,1,2,-1,8
445,1,1,3,-1,6
446,1,1,3,2,8
447,1,1,3,2,8
448,1,1,3,1,6
449,1,1,3,1,5
450,1,3,3,2,-1
451,1,2,3,2,8
