collision_index,vehicle_reference,vehicle_type,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,sex_of_driver,age_band_of_driver
1,1,1,99,9,9,3,5
2,2,9,99,9,9,2,-1
3,1,9,99,9,9,1,4
4,2,9,99,9,9,3,-1
5,3,9,99,9,9,1,8
6,1,9,18,7,3,2,7
7,2,9,2,0,0,3,-1
8,1,3,3,1,5,1,6
9,2,9,5,1,5,3,-1
10,1,11,9,7,5,1,9
11,1,9,17,5,1,3,-1
12,1,9,18,1,5,1,8
13,1,9,18,1,5,2,8
14,2,19,2,0,0,3,-1
15,1,9,18,3,7,1,7
16,1,3,18,5,1,1,4
17,2,8,2,0,0,3,-1
18,1,8,9,1,7,1,8
19,2,9,18,5,1,1,11
20,1,9,18,1,5,1,4
21,2,9,18,5,1,1,6
22,1,3,12,3,7,1,8
23,1,19,5,6,2,1,9
24,1,4,18,5,1,1,6
25,2,9,13,1,5,3,-1
26,1,4,99,9,9,3,-1
27,2,9,99,9,9,3,-1
28,1,1,99,9,9,1,6
29,2,9,99,9,9,3,-1
30,1,9,18,7,3,1,6
31,2,9,6,7,7,1,6
32,1,3,18,5,1,3,-1
33,1,9,99,9,9,2,6
34,2,9,99,9,9,1,9
35,1,9,4,1,5,1,7
36,1,9,9,1,7,1,7
37,1,9,18,1,5,2,6
38,2,9,9,5,3,2,7
39,1,9,5,7,3,1,7
40,2,9,18,1,5,1,6
41,1,9,99,9,9,2,7
42,2,9,99,9,9,2,5
43,1,3,7,5,7,1,6
44,2,9,9,7,5,2,9
45,1,19,13,1,5,1,8
46,2,1,18,1,5,1,9
47,1,9,9,3,1,1,7
48,1,9,18,1,5,2,11
49,2,9,2,0,0,3,-1
50,1,9,9,3,1,1,6
51,1,9,9,3,1,1,7
52,1,9,18,7,3,2,8
53,2,9,18,7,3,3,-1
54,1,9,16,1,5,2,-1
55,2,9,18,5,1,1,6
56,1,1,18,6,2,1,4
57,1,9,13,5,1,1,5
58,2,9,4,5,1,1,9
59,3,9,14,5,1,1,7
60,4,9,13,5,1,1,6
61,1,9,18,3,7,1,7
62,2,9,7,1,3,1,9
63,1,9,18,5,1,1,7
64,2,5,3,5,1,1,6
65,1,9,18,5,1,1,8
66,2,1,18,3,7,1,8
67,1,8,99,9,9,1,8
68,2,9,99,9,9,3,-1
69,1,3,18,5,1,1,8
70,1,9,18,5,1,1,-1
71,1,9,7,1,4,2,8
72,2,1,7,1,4,1,5
73,1,5,17,5,1,1,9
74,2,9,11,5,1,1,8
75,1,9,18,7,3,3,-1
76,1,9,18,1,5,2,10
77,1,8,18,7,3,1,9
78,2,1,18,1,5,1,4
79,1,9,9,1,7,2,9
80,2,90,18,5,1,1,8
81,1,3,99,9,9,1,6
82,2,19,99,9,9,3,-1
83,1,11,4,1,5,1,6
84,1,9,18,5,1,2,7
85,2,8,7,5,7,1,9
86,1,3,99,9,9,3,6
87,2,9,99,9,9,3,-1
88,1,3,99,9,9,1,6
89,2,9,99,9,9,3,-1
90,1,9,99,9,9,1,6
91,2,9,99,9,9,3,-1
92,1,3,5,3,7,1,6
93,1,9,99,9,9,2,8
94,2,9,99,9,9,3,-1
95,1,3,13,6,2,1,7
96,2,19,9,6,4,1,6
97,1,11,7,7,1,1,6
98,1,9,18,1,5,3,-1
99,1,9,99,9,9,2,8
100,2,9,99,9,9,1,6
101,1,5,18,3,7,1,-1
102,1,9,18,3,7,2,5
103,2,8,18,7,3,1,9
104,1,4,13,3,7,1,7
105,2,9,6,7,7,1,8
106,1,4,13,5,1,1,5
107,2,9,18,5,1,1,7
108,1,2,18,3,7,1,7
109,2,9,9,5,2,2,6
110,1,9,18,5,1,1,6
111,1,9,9,1,6,1,5
112,2,5,18,1,5,1,7
113,1,9,9,7,5,1,10
114,2,3,18,5,1,1,6
115,1,9,18,1,5,1,7
116,1,8,4,1,5,1,6
117,2,3,15,1,5,1,6
118,1,3,4,5,1,1,6
119,1,1,99,9,9,2,7
120,2,8,99,9,9,3,-1
121,1,9,18,1,5,1,11
122,1,19,7,4,7,1,10
123,2,1,15,3,7,1,9
124,1,19,9,7,4,1,6
125,1,3,99,9,9,1,7
126,2,9,99,9,9,3,-1
127,1,9,18,1,5,1,8
128,1,3,18,7,3,1,5
129,2,5,18,7,3,1,6
130,1,9,99,9,9,1,8
131,2,9,99,9,9,3,9
132,1,19,1,1,5,1,9
133,1,9,18,1,5,1,8
134,1,2,4,5,1,1,5
135,2,9,7,1,3,1,6
136,1,9,99,9,9,1,8
137,2,9,99,9,9,2,7
138,1,4,14,5,1,3,-1
139,1,1,99,9,9,1,5
140,2,9,99,9,9,1,10
141,1,1,99,9,9,1,8
142,2,19,99,9,9,3,-1
143,1,9,1,7,3,1,11
144,1,9,18,3,7,1,7
145,2,1,18,5,1,1,6
146,1,9,18,5,1,1,8
147,2,9,9,1,7,1,6
148,1,9,18,2,6,3,-1
149,1,3,99,9,9,1,5
150,2,9,99,9,9,3,-1
151,1,19,18,3,7,1,7
152,1,9,18,5,1,1,7
153,2,19,18,5,1,1,8
154,1,3,99,9,9,1,5
155,2,9,99,9,9,3,-1
156,1,1,99,9,9,2,6
157,2,9,99,9,9,3,-1
158,1,9,6,1,1,1,7
159,2,3,13,1,5,1,6
160,1,9,99,9,9,2,6
161,2,9,99,9,9,3,6
162,1,19,99,9,9,3,-1
163,1,9,5,3,7,2,7
164,2,2,5,1,5,1,5
165,1,3,99,9,9,1,5
166,2,11,99,9,9,3,-1
167,1,1,99,9,9,2,6
168,2,98,99,9,9,3,-1
169,1,9,4,3,7,1,8
170,1,9,18,2,6,1,8
171,2,9,18,2,6,1,8
172,1,9,9,3,1,2,6
173,2,4,14,7,3,1,5
174,1,9,4,6,2,2,6
175,2,3,3,6,2,1,6
176,1,9,99,9,9,2,-1
177,1,9,9,5,3,2,9
178,1,9,18,5,1,1,7
179,2,9,18,5,1,2,6
180,1,9,99,9,9,1,6
181,2,1,99,9,9,1,-1
182,1,1,99,9,9,1,9
183,2,9,99,9,9,3,-1
184,1,8,17,5,1,1,8
185,2,9,16,1,5,2,6
186,1,9,5,3,7,1,7
187,2,3,5,3,7,1,6
188,1,5,18,7,3,1,8
189,2,9,18,1,5,2,6
190,1,9,9,3,8,2,7
191,2,9,18,7,3,3,-1
192,3,19,8,1,4,1,6
193,1,9,99,9,9,3,8
194,1,3,18,5,1,1,6
195,1,9,5,1,5,1,6
196,1,1,99,9,9,1,8
197,2,9,99,9,9,3,-1
198,1,9,9,1,6,1,5
199,2,9,2,0,0,3,-1
200,3,9,2,0,0,3,-1
201,4,9,2,0,0,3,-1
202,5,9,2,0,0,3,-1
203,6,9,2,0,0,3,-1
204,1,9,5,5,1,1,6
205,2,8,18,7,3,1,9
206,1,9,18,1,5,1,6
207,2,9,2,0,0,3,-1
208,3,9,2,0,0,3,-1
209,1,4,18,5,1,1,6
210,2,9,5,0,1,1,6
211,1,3,18,5,1,1,5
212,2,9,9,1,6,2,6
213,1,90,99,9,9,1,9
214,1,9,12,3,7,1,7
215,1,3,99,9,9,1,7
216,2,9,99,9,9,3,-1
217,1,9,99,9,9,2,5
218,2,9,99,9,9,3,-1
